Nombre,Género
Aída Cartagena Portalatín,Mujer
Hilma Contreras,Mujer
Junot Díaz,Hombre
Pedro Henríquez Ureña,Hombre
Pedro Mir,Hombre
Salomé Ureña,Mujer
Edwidge Danticat,Mujer
René Depestre,Hombre
Roger Dorsinville,Hombre
Franck Étienne,Hombre
Frédéric Marcelin,Hombre
Félix Morisseau-Leroy,Hombre
Justin Lhérisson,Hombre
Jacques Roumain,Hombre
Fray Íñigo Abbad y Lasierra,Hombre
Manuel Alonso,Hombre
Yolanda Arroyo Pizarro,Mujer
Alejandrina Benítez de Gautier,Mujer
Giannina Braschi,Mujer
Julia de Burgos,Mujer
Nemesio Canales,Hombre
Cayetano Coll y Toste,Hombre
Virgilio Dávila,Hombre
Nelson Antonio Denis,Hombre
Abelardo Díaz Alfaro,Hombre
José de Diego,Hombre
Edwin Figueroa,Hombre
Rosario Ferré,Mujer
Magali García Ramis,Mujer
José Gautier Benítez,Hombre
José Luis González,Hombre
Eugenio María de Hostos,Mujer
Enrique Laguerre,Hombre
Mercedes Negrón Muñoz,Mujer
Tato Laviera,Hombre
Juan Damián López de Haro,Hombre
Luis López Nieves,Hombre
René Marqués,Hombre
Nemir Matos-Cintrón,Mujer
Francisco Matos Paoli,Hombre
Olga Nolla,Mujer
Luis Palés Matos,Hombre
Benito Pastoriza Iyodo,Hombre
Pedro Pietri,Hombre
Miguel Piñero,Hombre
Manuel Ramos Otero,Hombre
Lola Rodríguez de Tió,Mujer
Luis Rafael Sánchez,Hombre
Esmeralda Santiago,Mujer
Mayra Santos-Febres,Mujer
Alejandro Tapia y Rivera,Hombre
Diego de Torres Vargas,Hombre
Luz María Umpierre,Mujer
Lourdes Vázquez,Mujer
Ana Lydia Vega,Mujer
Manuel Zeno Gandía,Hombre
Joaquín García Monge,Hombre
Carmen Naranjo,Mujer
Oscar Núñez Oliva,Hombre
Manlio Argueta,Hombre
Roque Dalton,Hombre
Jacinta Escudos,Mujer
Claudia Lars,Mujer
Salarrué,Hombre
Miguel Ángel Asturias,Hombre
Marco Antonio Flores,Hombre
Augusto Monterroso,Hombre
Boris Amado,Hombre
Óscar Acosta,Hombre
Ramón Amaya Amador,Hombre
Eduardo Bähr,Hombre
Augusto Coello,Hombre
Julio Escoto,Hombre
Javier Abril Espinoza,Hombre
Lucila Gamero de Medina,Mujer
Juan Ramón Molina,Hombre
Leticia de Oyuela,Mujer
Roberto Sosa,Hombre
Juan Pablo Suazo Euceda,Hombre
Froylán Turcios,Hombre
Claribel Alegría,Mujer
Emilio Álvarez Lejarza,Hombre
Emilio Álvarez Montalván,Hombre
Gioconda Belli,Mujer
Tomás Borge,Hombre
Omar Cabezas,Hombre
Ernesto Cardenal,Hombre
Blanca Castellón,Mujer
José Coronel Urtecho,Hombre
Alfonso Cortés,Hombre
Arturo Cruz,Hombre
Pablo Antonio Cuadra,Hombre
Rubén Darío,Hombre
Karly Gaitán Morales,Mujer
Salomón Ibarra Mayorga,Hombre
Erwin Krüger,Hombre
Francisco Mayorga,Hombre
Christianne Meneses Jacobs,Mujer
Rosario Murillo,Mujer
Azarías H. Pallais,Hombre
Joaquín Pasos,Hombre
Horacio Peña,Hombre
Sergio Ramírez,Hombre
Arlen Siu,Mujer
Julio Valle Castillo,Hombre
Daisy Zamora,Mujer
Rosa María Britton,Mujer
Gloria Guardia,Mujer
María Olimpia de Obaldía,Mujer
Ricardo Miró,Hombre
José Luis Rodríguez Pittí,Hombre
Nezahualcóyotl,Hombre
Juan Ruiz de Alarcón,Hombre
Juana Inés de la Cruz,Mujer
José Joaquín Fernández de Lizardi,Hombre
Ignacio Manuel Altamirano,Hombre
José Rosas Moreno,Hombre
Manuel Acuña,Hombre
Salvador Díaz Mirón,Hombre
Manuel Gutiérrez Nájera,Hombre
Amado Nervo,Hombre
Mariano Azuela,Hombre
Alfonso Reyes,Hombre
Bruno Traven,Hombre
Manuel Maples Arce,Hombre
Germán List Arzubide,Hombre
Carlos Pellicer,Hombre
Arqueles Vela,Hombre
Nellie Campobello,Mujer
